,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1708,Maruti Ciaz Zeta,850000,1306000,2018,Individual,40000,First Owner,Petrol,Manual,21.56,Maruti
1709,Skoda Rapid 1.6,760000,1582000,2018,Dealer,31000,First Owner,Petrol,Automatic,14.3,Skoda
1710,Honda City i,771000,1698999,2015,Dealer,56000,First Owner,Petrol,Automatic,18.0,Honda
1711,Mahindra Scorpio S10,925000,1869000,2014,Dealer,51000,First Owner,Diesel,Manual,15.4,Mahindra
1712,Ford Ecosport 1.5,690000,1380000,2015,Dealer,75911,First Owner,Diesel,Manual,22.7,Ford
1713,Hyundai i20 2015-2017,418000,1324000,2013,Dealer,35000,First Owner,Petrol,Manual,18.6,Hyundai
1714,Honda WR-V i-DTEC,975000,1319000,2018,Dealer,30892,First Owner,Diesel,Manual,25.5,Honda
1715,Maruti Swift Dzire,590000,1031000,2015,Dealer,32000,First Owner,Petrol,Manual,20.85,Maruti
1716,Maruti Swift Dzire,250000,1032000,2008,Dealer,78000,First Owner,Petrol,Manual,17.5,Maruti
1717,Maruti Eeco 5,345000,513999,2015,Dealer,8403,First Owner,Petrol,Manual,15.37,Maruti
1718,Honda City i,600000,1768000,2015,Individual,95000,First Owner,Diesel,Manual,25.1,Honda
1719,Honda City 1.5,755000,1698999,2019,Dealer,11000,First Owner,Petrol,Manual,17.0,Honda
1720,Renault KWID RXT,324000,668000,2016,Dealer,19000,First Owner,Petrol,Manual,22.3,Renault
1721,Maruti Baleno Alpha,775000,1073000,2019,Dealer,12705,First Owner,Petrol,Manual,21.01,Maruti
1722,Renault Duster 1.5,730000,1541000,2018,Individual,18500,First Owner,Petrol,Manual,14.19,Renault
1723,Mahindra Scorpio 1.99,1250000,1968000,2015,Individual,70000,First Owner,Diesel,Manual,15.4,Mahindra
1724,Hyundai i20 Sportz,484999,1324000,2014,Dealer,42000,First Owner,Petrol,Manual,18.6,Hyundai
1725,Ford Figo Diesel,221000,997000,2010,Dealer,76400,First Owner,Diesel,Manual,20.0,Ford
1726,Maruti Eeco 5,250000,513000,2010,Dealer,35000,First Owner,Petrol,Manual,16.11,Maruti
1727,Maruti Swift Dzire,475000,1032000,2013,Dealer,10000,First Owner,Petrol,Manual,19.1,Maruti
1728,Maruti Ciaz VXi,700000,1351000,2015,Individual,20000,First Owner,Petrol,Manual,20.73,Maruti
1729,Ford Figo 1.2P,540000,824000,2016,Dealer,14000,First Owner,Petrol,Manual,18.16,Ford
1730,Honda Amaze S,375000,1177000,2014,Individual,90000,First Owner,Diesel,Manual,25.8,Honda
1731,Mahindra XUV500 W9,1500000,2337000,2018,Individual,60000,First Owner,Diesel,Manual,16.0,Mahindra
1732,Renault KWID RXT,345000,654000,2016,Dealer,21200,First Owner,Petrol,Manual,22.3,Renault
1733,Maruti Wagon R,434000,618000,2018,Individual,50000,First Owner,CNG,Manual,26.6,Maruti
1734,Hyundai i20 2015-2017,280000,1362000,2010,Dealer,36704,First Owner,Petrol,Manual,18.6,Hyundai
1735,Maruti Baleno Delta,545000,1073000,2017,Dealer,35092,First Owner,Petrol,Manual,21.01,Maruti
1736,Renault KWID RXT,350000,668000,2017,Individual,15000,First Owner,Petrol,Manual,25.17,Renault
